query_id,0
10,"[0 1 0 0 2 1 0 1 0 0 0 1 0 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 2 0 0 2 1 1 0 2 0 0 0 1 2 0 0 0 0 0 2 1 2 0 0 0 1 0 0 1 0 0 0 0 2 1
 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0]"
55,"[0 1 0 1 1 0 0 1 1 0 0 1 0 1 1 1 2 0 0 1 0 1 0 0 1 1 0 0 1 0 0 1 0 1 0 0 0
 2 2 1 1 1 2 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0]"
100,"[1 1 0 1 0 0 0 1 1 2 0 0 1 1 0 0 1 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0
 0 1 0 1 1 1 1 1 0 2 1 0 1 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 1 2 0 0 0 0
 1 1 0 0 2 0 0 0 0 1 0 0 0 1]"
175,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
220,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]"
235,"[0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0
 1 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]"
265,"[0 1 0 0 0 0 0 0 0 0 1 1 1 1 1 0 2 0 1 0 0 1 1 0 1 2 0 1 2 0 1 1 1 0 0 0 0
 0 0 1 0 0 1 1 1 0 0 1 1 1 2 1 0 0 0 0 0 0 0 2 0 0 0 0 2 0 1 0 1 1 0 2 1 0
 1 0 0 0 0 0 0 1 0 0]"
280,"[0 0 2 2 0 0 1 1 0 0 1 0 0 2 2 0 0 0 1 1 0 2 0 2 0 0 2 0 1 0 2 1 0 2 0 0 2
 0 0 1 2 1 1 0 0 1 2 0 0 0 2 1 0 0 1 2 2 2 2 1 1 2 0 1 0 0 0 0 2 1 0 0 0 0
 2 0 2 1 0 0 2 2 0 0 1 2 2 0 0 0 0 2 2 0 0 0 1 0 0 0 0 1 2 0 1 0 0 2 1 0 0
 1 0 2 1 2 0 0 1 1 0 0 1 2 0 2 0 1 0 0 2 0 0 0 0 0 2 1 0 0 1 2 2 0 1 1 0 1
 2 0 0 2 1 0 0]"
310,"[1 0 0 1 1 1 1 1 1 1 1 1 0 1 0 1 0 0 0 1 1 1 0 0 1 1 0 1 0 1 1 1 0 1 1 1 0
 1 0 1 1 1 1 1 1 1 0 1 1 1 0 0 1 1 1 0 0 1 1 0 0 1 1 1 1 1 1 0 0 1 0 1 0 1
 1 1 1 1 0 1 1 0 0 1 1 1 1 1 1 1 1 1 1 0 1 0 0 1 0 0 0 0 1 1 1 1 1 1 1 0 0
 1 1 1 0 0 0 0 1 1 1 1 1 0 0 0 1 1 1 1 1 1 0 0 1 1 1 0 0 1 1 1 1 0 1 1 1 0
 1 0 0 0 0 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 2 1 1 1 1 0 0 0 0 1 0 1 1 1 0 0
 0 0 1 1 0 1 1 0 1 1 1 0 0 1 1 1 1 0 0 1 1 0 1 0 0 0 1 1 1 0 1 0 0 1 0 1 1
 1 1 1 0 1 0 1 0 0 0 1 1 0 1 1 1 1 1 1 1 0 0 0 1 1 1 0 1 0 1 1 1 0 1 1 1 1
 1 0 0 1 1 1 1 0 1 1 0 1 1 1 1 0 1 0 1 1 0 1 1 0 0 1 0 1 1 0 0 1 1 0 0 0 1
 1 0 0 1 1 1 1 0 0 0 1 1 0 1 0 1 1 1 1 1 0 1 1]"
385,"[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]"
